name;calories;proteins;carbs;fat;calcium;iron;vitamin_c
Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cru;105.0;6.13;8.39;5.1;58.2;0.41;0.0
Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit;117.0;6.69;5.28;7.5;52.0;0.28;0.0
Saumon sauce à l'oseille, préemballé;157.0;9.5;8.23;9.5;0.0;0.0;0.0
Poisson blanc à la bordelaise (chapelure, huile…), préemballé;176.0;14.8;5.3;10.4;21.1;1.2;9.7
Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé;73.4;9.31;3.1;2.3;16.1;0.0;0.0
Poisson blanc à la florentine (sauce aux épinards), préemballé;96.0;12.0;2.0;4.0;0.0;0.0;0.0
Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé;80.0;11.5;2.2;2.8;0.0;0.0;0.0
Poisson blanc à la sauce moutarde, préemballé;90.8;9.2;5.4;3.6;0.0;0.0;0.0
Poisson blanc à la parisienne (sauce aux champignons), préemballé;81.5;9.0;3.0;3.5;0.0;0.0;0.0
Poisson blanc à l'estragon, préemballé;77.2;8.8;4.2;2.8;0.0;0.0;0.0
Poisson blanc sauce oseille, préemballé;111.0;11.8;3.0;5.5;40.0;0.24;0.0
Saumon farci, préemballé;227.0;18.8;0.4;16.2;0.0;0.0;0.0
Brochette de poisson;127.0;18.0;0.86;5.71;26.5;0.72;6.33
Brochette de crevettes;140.0;16.4;1.6;7.38;81.2;1.85;8.33
Poisson cuit (aliment moyen);142.0;22.5;0.32;5.62;27.5;0.6;0.79
Poisson blanc, cuit (aliment moyen);114.0;22.0;0.32;2.74;26.4;0.44;0.51
Paëlla, préemballée;148.0;7.86;17.1;4.9;38.7;0.69;1.95
Couscous au poisson;105.0;7.5;14.2;1.6;24.0;4.1;7.6
Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé;117.0;6.39;8.57;6.15;46.8;0.0;0.0
Paëlla (poulet fruit de mer, chorizo, colin), fait maison;135.0;6.38;22.0;2.2;17.0;0.5;7.0
Sushi ou maki aux produits de la mer;171.0;6.69;26.9;3.7;16.0;0.25;1.11
Terrine ou mousse de légumes, premballée;140.0;6.67;5.5;9.56;68.6;1.76;2.16
Flan de légumes aux oeufs;210.0;5.38;4.13;18.6;72.0;0.75;0.0
Haricots blancs à la sauce tomate, appertisés;80.5;4.83;11.7;0.5;0.0;0.0;0.0
Piperade basquaise, préemballée;67.8;1.1;5.38;3.8;7.6;0.24;12.2
Poêlée de légumes assaisonnés sans champignon, surgelée, crue;50.4;2.6;5.0;1.5;24.5;6.0;30.8
Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue;73.5;1.75;4.0;5.0;0.0;0.0;0.0
Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue;48.0;1.61;4.33;1.77;0.0;0.0;0.0
Poêlée de légumes assaisonnés aux champignons ("champêtre"), surgelée;31.5;1.5;4.0;0.5;0.0;0.0;0.0
Ratatouille cuisinée, préemballée;57.1;1.22;4.97;3.15;16.4;0.38;25.2
Épinard à la crème, préemballé;57.3;2.5;4.1;2.9;0.0;0.0;0.0
Gratin d'aubergine, préemballé;105.0;1.5;5.5;8.0;0.0;0.0;0.0
Gratin dauphinois, préemballé;113.0;3.38;14.5;4.2;38.6;0.32;3.1
Endive au jambon, préemballée;109.0;7.44;4.71;6.3;77.2;0.38;0.0
Gratin de chou-fleur, préemballé;86.3;3.0;3.3;6.5;96.6;0.27;0.0
Gratin de légumes, préemballé;106.0;3.44;6.91;6.7;0.0;0.0;0.0
Riste d'aubergines (aubergines, tomates, oignons), préemballée;145.0;1.05;10.6;10.4;0.0;0.0;0.0
Palet ou galette de légumes, préfrit, surgelé;101.0;2.33;8.67;5.67;0.0;0.0;0.0
Palet ou galette de légumes, préfrit, surgelé, cuit;105.0;3.31;8.45;5.7;40.0;0.52;1.23
Choucroute cuisinée aux lardons, sans garniture, égouttée, cuite;75.5;1.38;0.0;6.6;43.0;0.3;17.2
Gratin de légumes, fait maison;107.0;3.15;3.59;8.51;83.1;0.51;12.6
Tomate à la provençale, fait maison;75.7;1.65;6.55;4.32;23.0;0.67;21.5
Beignet de légumes;140.0;4.0;12.1;8.0;52.4;0.72;13.2
Falafel ou boulette de pois-chiche et/ou fève, vente à emporter;252.0;8.25;18.7;14.4;57.0;2.1;0.0
Gratin de légumes en sauce blanche type béchamel, préemballé, cuit;105.0;3.56;6.74;6.5;84.0;0.31;1.94
Falafel ou boulette de pois-chiche et/ou fève, préemballé;211.0;7.38;17.7;10.8;57.0;1.6;0.0
Blé dur précuit, cuisiné, en sachet micro-ondable;188.0;5.21;29.6;4.84;0.0;0.0;40.0
Nouilles asiatiques cuisinées (boeuf, poulet, légumes…) non instantanées;140.0;5.12;18.8;4.3;0.0;0.0;0.0
Ravioli au boeuf, sauce tomate, appertisé;95.3;4.22;12.5;2.83;25.3;1.09;1.22
Lasagnes ou canellonis à la viande (bolognaise), préemballés;134.0;6.29;13.5;5.72;44.8;0.71;2.46
Pâtes à la bolognaise (spaghetti, tagliatelles…), préemballées;116.0;5.32;13.6;4.07;14.0;0.79;4.22
Riz cantonais, préemballé;164.0;5.46;23.6;4.94;16.7;0.4;0.97
